year,correlation,n_countries
1990,0.272555533450111,816
1991,0.270356669968348,816
1992,0.267932089483938,816
1993,0.265347696061057,816
1994,0.262747135823506,816
1995,0.259807249164361,816
1996,0.257825268360289,816
1997,0.254879639389923,816
1998,0.25148275310076,816
1999,0.247669681762879,816
2000,0.245876755512884,816
2001,0.244457432865314,816
2002,0.244443739661631,816
2003,0.244258395524036,816
2004,0.244096020631329,816
2005,0.243224867847333,816
2006,0.240809475060877,816
2007,0.237055593700208,816
2008,0.233720636028992,816
2009,0.22948599070417,816
2010,0.227461340110556,816
2011,0.227224050142215,816
2012,0.226214551829394,816
2013,0.225473705338512,816
2014,0.224764927447223,816
2015,0.224266583176406,816
2016,0.222972354570226,816
2017,0.221577503002787,816
2018,0.220252884318755,816
2019,0.219878397283834,816
