year,region_type,avg_severity,avg_IHD,avg_IS
1990,Consistent,2.202416918429,47451.4121898494,12406.8627065216
1990,IHD-dominant,2.40178571428571,70614.7866497545,121.776387402037
1990,IS-dominant,2.38314176245211,694.742487035271,16066.4316052125
1991,Consistent,2.20795107033639,49060.8971984664,12754.681089397
1991,IHD-dominant,2.39823008849558,71629.260010397,122.07818618222
1991,IS-dominant,2.39543726235741,807.975713026382,16260.4845095417
1992,Consistent,2.234375,51212.9124292575,13249.4255902637
1992,IHD-dominant,2.3974358974359,70805.4577025971,132.932414462181
1992,IS-dominant,2.40076335877863,802.048619777893,16594.8609785384
1993,Consistent,2.24842767295598,52608.5880894991,13535.1442720596
1993,IHD-dominant,2.3974358974359,72322.2588949558,133.098923765501
1993,IS-dominant,2.40530303030303,840.00918710509,16750.2004592661
1994,Consistent,2.25233644859813,53186.1580738247,13642.2898564338
1994,IHD-dominant,2.39830508474576,73283.4301783394,133.295044077195
1994,IS-dominant,2.40926640926641,832.169288060995,17317.6735154978
1995,Consistent,2.26605504587156,53416.2749038599,13648.1495929206
1995,IHD-dominant,2.40677966101695,74780.9947107712,133.965405132014
1995,IS-dominant,2.40316205533597,679.250247489274,17952.1925563557
1996,Consistent,2.27522935779817,54425.8413377141,13871.2659498843
1996,IHD-dominant,2.43333333333333,75202.050206026,167.414894748822
1996,IS-dominant,2.40160642570281,564.490100774354,18453.1203445162
1997,Consistent,2.28048780487805,55206.7131723775,13993.3327285815
1997,IHD-dominant,2.4406779661017,77942.1521759203,171.118961006485
1997,IS-dominant,2.4047619047619,611.248202512346,18483.902438924
1998,Consistent,2.28313253012048,55491.9649701006,13976.1453394708
1998,IHD-dominant,2.4549356223176,80459.781714437,191.093395913518
1998,IS-dominant,2.40637450199203,609.467534767128,18772.8590182017
1999,Consistent,2.28528528528529,56440.9611172145,14107.3862218479
1999,IHD-dominant,2.45689655172414,82312.6256325892,193.30297615433
1999,IS-dominant,2.40637450199203,602.897220863044,19014.2771876367
2000,Consistent,2.2874251497006,57343.2867789718,14245.9867224139
2000,IHD-dominant,2.46351931330472,83720.9523898642,210.9737712619
2000,IS-dominant,2.41767068273092,654.961304799069,19457.2055922538
2001,Consistent,2.29607250755287,59118.6747123831,14610.6871719087
2001,IHD-dominant,2.46382978723404,84969.5437671485,208.952865348228
2001,IS-dominant,2.428,721.650256899055,19725.6437674564
2002,Consistent,2.29850746268657,59820.9170179662,14687.6169417864
2002,IHD-dominant,2.47210300429185,87775.53523245,213.793328838115
2002,IS-dominant,2.44354838709677,746.022007321307,20258.9127042884
2003,Consistent,2.29970326409496,60945.699353278,14882.1216802011
2003,IHD-dominant,2.46581196581197,89481.6509228989,198.356099227663
2003,IS-dominant,2.4530612244898,762.856511114252,20880.3076092542
2004,Consistent,2.31419939577039,63626.2914134148,15447.3529097532
2004,IHD-dominant,2.45454545454545,88678.4114765553,196.536549953843
2004,IS-dominant,2.45267489711934,716.083754819993,21449.1963579288
2005,Consistent,2.3161094224924,65460.3401167388,15807.108086916
2005,IHD-dominant,2.45081967213115,90050.9134802325,198.370516109986
2005,IS-dominant,2.46913580246914,828.930443069545,21885.1534507838
2006,Consistent,2.3302752293578,67364.9374908598,16208.1868606404
2006,IHD-dominant,2.44578313253012,90186.8028689186,194.558174291101
2006,IS-dominant,2.47083333333333,805.211088975165,22539.8184652866
2007,Consistent,2.34049079754601,68976.5485586174,16547.9402922882
2007,IHD-dominant,2.44534412955466,92659.0925048234,181.666652046961
2007,IS-dominant,2.46913580246914,806.336741158993,22644.6217453616
2008,Consistent,2.36990595611285,71842.0543881284,17190.84465445
2008,IHD-dominant,2.44664031620553,92170.0251470527,192.292932444273
2008,IS-dominant,2.46311475409836,745.415713972397,22897.3362259345
2009,Consistent,2.38317757009346,72918.7355523476,17437.0260906009
2009,IHD-dominant,2.44705882352941,93283.7503302882,168.675787329541
2009,IS-dominant,2.475,690.712486162946,23655.8981008796
2010,Consistent,2.38198757763975,74275.9923530849,17703.2175683118
2010,IHD-dominant,2.4609375,95208.5633250348,193.652140066906
2010,IS-dominant,2.47899159663866,702.01581065802,24315.8169414549
2011,Consistent,2.38414634146341,74866.7162471311,17738.7343686686
2011,IHD-dominant,2.46062992125984,98216.1180055539,181.792365756405
2011,IS-dominant,2.49145299145299,727.143499731329,25255.8898116245
2012,Consistent,2.38837920489297,76859.1644059175,18152.36849515
2012,IHD-dominant,2.46484375,99886.7428218291,191.20103962969
2012,IS-dominant,2.49356223175966,741.56109305119,25851.7006325982
2013,Consistent,2.4030303030303,78042.3956823062,18376.5436952781
2013,IHD-dominant,2.4765625,102208.385432209,188.149581507864
2013,IS-dominant,2.50434782608696,681.156650968331,26681.802433236
2014,Consistent,2.41141141141141,79225.9644398038,18636.3055825119
2014,IHD-dominant,2.48616600790514,105938.683753971,192.443481034415
2014,IS-dominant,2.50869565217391,688.360546306156,27285.2796958065
2015,Consistent,2.42424242424242,81991.3530119805,19301.2057372663
2015,IHD-dominant,2.47490347490348,106163.534926452,193.67493525674
2015,IS-dominant,2.51541850220264,710.289482567939,28370.437312163
2016,Consistent,2.44477611940299,83080.9719513883,19736.69183745
2016,IHD-dominant,2.4921875,110335.220352017,189.690564214376
2016,IS-dominant,2.52444444444444,643.793881067087,29614.9729571728
2017,Consistent,2.44970414201183,84606.509637116,20417.928551468
2017,IHD-dominant,2.49027237354086,112950.433323634,194.214702420399
2017,IS-dominant,2.53393665158371,671.347812538368,31454.610746137
2018,Consistent,2.46607669616519,86755.5659597563,21236.4324314787
2018,IHD-dominant,2.50196078431373,116864.566442187,193.628845809859
2018,IS-dominant,2.54054054054054,659.313044449197,32661.3386762314
2019,Consistent,2.48387096774194,88745.5801529453,21924.3934264861
2019,IHD-dominant,2.50390625,119693.411422787,183.073368314862
2019,IS-dominant,2.55251141552511,602.49618878167,34294.2537145151
