"rei","n_locations","cpaf"
"Occupational noise",204,81.5920158264195
"High systolic blood pressure",204,61.6170243006379
"Occupational asthmagens",204,57.4382562777498
"High LDL cholesterol",204,54.4768403200457
"High body-mass index",204,49.3891696758736
"Diet low in whole grains",204,47.0726626628318
"Secondhand smoke",204,42.7275237106505
"Particulate matter pollution",204,33.4519707840515
"Unsafe sanitation",204,26.1162005606075
"Diet low in omega-6 polyunsaturated fatty acids",204,23.7925344909526
"Diet low in seafood omega-3 fatty acids",204,23.09734297593
"High temperature",204,19.6844836254231
"Diet low in legumes",204,15.2139899863584
"Diet low in milk",204,12.4853073927994
"Drug use",204,11.6233886290663
"Lead exposure",204,10.7688584298124
"Residential radon",204,10.504065371986
"Unsafe water source",204,10.4012830227711
"Diet low in nuts and seeds",204,8.30038861893833
"Nitrogen dioxide pollution",204,8.14629060679404
"Kidney dysfunction",204,7.23938676966856
"High fasting plasma glucose",204,5.9573880442087
"Chewing tobacco",204,3.4816828891409
"Diet high in trans fatty acids",204,2.08300647434291
"Low temperature",204,-0.743253242688424
"Diet low in calcium",204,-0.856962245717718
"Diet low in fiber",204,-0.860086833832385
"High alcohol use",204,-1.08481228482105
"Ambient ozone pollution",204,-10.2214418285392
"No access to handwashing facility",204,-11.6782219973633
"Diet low in fruits",204,-23.9130179492821
"Diet high in sugar-sweetened beverages",204,-26.0574465616698
"Diet high in processed meat",204,-31.164901762064
"Smoking",204,-36.8316488232338
"Diet low in vegetables",204,-38.9012272667277
"Diet high in red meat",204,-40.7462423157035
"Occupational particulate matter, gases, and fumes",204,-74.5542935912458
"Diet high in sodium",204,-87.932411017098
"Occupational ergonomic factors",204,-97.6180539363753
"Occupational carcinogens",204,-129.677478668425
"Low bone mineral density",204,-246.032566473888
