"age","n_years","min_year","max_year","mean_rate","rate_2021"
"95+ years",32,1990,2021,16.678068456218,20.1443132285293
"90-94 years",32,1990,2021,11.5098294551703,14.086894904524
"85-89 years",32,1990,2021,9.00480141326684,10.1215090328839
"80-84 years",32,1990,2021,6.2163794406171,6.67852141452945
"75-79 years",32,1990,2021,4.7625886192629,4.79739556758729
"70-74 years",32,1990,2021,3.90772145618642,3.68981805513819
"65-69 years",32,1990,2021,2.87201542846672,2.59741971998745
"60-64 years",32,1990,2021,2.27782797539126,2.11255254658379
"55-59 years",32,1990,2021,2.05834074473572,1.92257075950799
"Age-standardized",32,1990,2021,1.91813408702026,1.74274019926774
"35-39 years",32,1990,2021,1.8982195835021,1.70861262574232
"50-54 years",32,1990,2021,1.88842693698893,1.67131807584002
"40-44 years",32,1990,2021,1.87326122374821,1.74945295360628
"<5 years",32,1990,2021,1.86596770540702,1.39025996962615
"All ages",32,1990,2021,1.86177228430143,1.77220460363139
"45-49 years",32,1990,2021,1.8476485425272,1.66615077751364
"20-24 years",32,1990,2021,1.78333415391824,1.62813752383237
"30-34 years",32,1990,2021,1.76408960158682,1.60083564837273
"15-19 years",32,1990,2021,1.74268216042589,1.59087420534534
"25-29 years",32,1990,2021,1.64679115443493,1.55394045200755
"10-14 years",32,1990,2021,0.994399939956467,0.78739495938451
"5-9 years",32,1990,2021,0.797069128418223,0.54898071695653
